date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:40:45	3901/3901	---M--	200	added ('OK')	application/javascript	etag:%225a80e4b8-f3d%22	https://app.usocialbot.com/assets/site_new/js/stellarnav.min.js	app.usocialbot.com/assets/site_new/js/stellarnav.min.js	(from https://app.usocialbot.com/home/terms_use)
03:40:46	2609/2609	---M--	200	added ('OK')	application/javascript	etag:%225a80e4b6-a31%22	https://app.usocialbot.com/assets/site_new/js/contact-form.js	app.usocialbot.com/assets/site_new/js/contact-form.js	(from https://app.usocialbot.com/home/terms_use)
03:40:47	5591/5591	---M--	200	added ('OK')	application/javascript	etag:%225a8b710a-15d7%22	https://app.usocialbot.com/assets/site_new/js/jquery.ajaxchimp.js	app.usocialbot.com/assets/site_new/js/jquery.ajaxchimp.js	(from https://app.usocialbot.com/home/terms_use)
03:40:48	9989/9989	---M--	200	added ('OK')	application/javascript	etag:%225a80e4b8-2705%22	https://app.usocialbot.com/assets/site_new/js/jquery.sticky.js	app.usocialbot.com/assets/site_new/js/jquery.sticky.js	(from https://app.usocialbot.com/home/terms_use)
03:40:49	7974/7974	---M--	200	added ('OK')	application/javascript	etag:%225a9459ee-1f26%22	https://app.usocialbot.com/assets/site_new/js/main.js	app.usocialbot.com/assets/site_new/js/main.js	(from https://app.usocialbot.com/home/terms_use)
03:40:50	1530/1530	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Nov%202020%2002:40:50%20GMT	https://app.usocialbot.com/assets/site_new/img/owl.video.play.png	app.usocialbot.com/assets/site_new/img/owl.video.play.html	(from https://app.usocialbot.com/assets/site_new/css/owl.carousel.css)
03:40:51	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225794fe26-4e9f%22	https://app.usocialbot.com/assets/site_new/fonts/glyphicons-halflings-regular.eot	app.usocialbot.com/assets/site_new/fonts/glyphicons-halflings-regular.eot	(from https://app.usocialbot.com/assets/site_new/css/bootstrap.min.css)
03:40:52	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225794fe26-4e9f%22	https://app.usocialbot.com/assets/site_new/fonts/glyphicons-halflings-regular.eot?	app.usocialbot.com/assets/site_new/fonts/glyphicons-halflings-regulard41d.eot	(from https://app.usocialbot.com/assets/site_new/css/bootstrap.min.css)
03:40:53	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%225794fe26-466c%22	https://app.usocialbot.com/assets/site_new/fonts/glyphicons-halflings-regular.woff2	app.usocialbot.com/assets/site_new/fonts/glyphicons-halflings-regular.woff2	(from https://app.usocialbot.com/assets/site_new/css/bootstrap.min.css)
03:40:54	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225794fe26-5b80%22	https://app.usocialbot.com/assets/site_new/fonts/glyphicons-halflings-regular.woff	app.usocialbot.com/assets/site_new/fonts/glyphicons-halflings-regular.woff	(from https://app.usocialbot.com/assets/site_new/css/bootstrap.min.css)
03:40:55	45404/45404	---M--	200	added ('OK')	application/font-sfnt	etag:%225794fe26-b15c%22	https://app.usocialbot.com/assets/site_new/fonts/glyphicons-halflings-regular.ttf	app.usocialbot.com/assets/site_new/fonts/glyphicons-halflings-regular.ttf	(from https://app.usocialbot.com/assets/site_new/css/bootstrap.min.css)
03:40:57	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%225a80e4b4-1a8c2%22	https://app.usocialbot.com/assets/site_new/fonts/glyphicons-halflings-regular.svg	app.usocialbot.com/assets/site_new/fonts/glyphicons-halflings-regular.svg	(from https://app.usocialbot.com/assets/site_new/css/bootstrap.min.css)
03:40:58	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2257cfa754-12ae6%22	https://app.usocialbot.com/assets/site_new/fonts/fontawesome-webfont.eot?v=4.6.3	app.usocialbot.com/assets/site_new/fonts/fontawesome-webfont5b62.eot	(from https://app.usocialbot.com/assets/site_new/css/font-awesome.min.css)
03:40:59	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2257cfa754-12ae6%22	https://app.usocialbot.com/assets/site_new/fonts/fontawesome-webfont.eot?	app.usocialbot.com/assets/site_new/fonts/fontawesome-webfontd41d.eot	(from https://app.usocialbot.com/assets/site_new/css/font-awesome.min.css)
03:40:59	71896/71896	---M--	200	added ('OK')	font/woff2	etag:%2257cfa754-118d8%22	https://app.usocialbot.com/assets/site_new/fonts/fontawesome-webfont.woff2?v=4.6.3	app.usocialbot.com/assets/site_new/fonts/fontawesome-webfont5b62.woff2	(from https://app.usocialbot.com/assets/site_new/css/font-awesome.min.css)
03:41:01	90412/90412	---M--	200	added ('OK')	application/font-woff	etag:%2257cfa754-1612c%22	https://app.usocialbot.com/assets/site_new/fonts/fontawesome-webfont.woff?v=4.6.3	app.usocialbot.com/assets/site_new/fonts/fontawesome-webfont5b62.woff	(from https://app.usocialbot.com/assets/site_new/css/font-awesome.min.css)
03:41:02	152796/152796	---M--	200	added ('OK')	application/font-sfnt	etag:%2257cfa754-254dc%22	https://app.usocialbot.com/assets/site_new/fonts/fontawesome-webfont.ttf?v=4.6.3	app.usocialbot.com/assets/site_new/fonts/fontawesome-webfont5b62.ttf	(from https://app.usocialbot.com/assets/site_new/css/font-awesome.min.css)
03:41:04	143258/143258	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225a56238e-22f9a%22	https://app.usocialbot.com/assets/site_new/fonts/MaterialIcons-Regular.eot	app.usocialbot.com/assets/site_new/fonts/MaterialIcons-Regular.eot	(from https://app.usocialbot.com/assets/site_new/css/material-icons.css)
